ImageSet,Citation,Source,Size,Outcome_Measures,Category,Rater_per_Image
Aesthetic Visual Analysis (AVA),"Nurray et al., (2012)",dpchallenge.com,250000,"Photographic style annotations, aesthetic annotations, semantic annotations",photography,210
Personalized Image Aesthetics Database with Rich Attributes (PARA),"Yang et al., (2022)",TBD,31220,"Emotion, difficulty of judgement,  preference, willingness to share, content, aesthetics, quality, composition, color, light, depth of field, object emphasis",natural scenes,25
